raan_deg,tle1,tle2,plane_id
171.6589,1 61195U 24170A   25283.12176029  .00000194  00000-0  22129-3 0  9997,2 61195  44.8553 171.6589 0007394 347.6606  12.4043 13.99020538 53849,2
171.8088,1 61196U 24170B   25283.13968494  .00000194  00000-0  22079-3 0  9998,2 61196  44.8576 171.8088 0009257 352.9518   7.1181 13.99020018 54031,2
172.0351,1 61197U 24170C   25283.15837361  .00000195  00000-0  22190-3 0  9994,2 61197  44.8605 172.0351 0008913 332.8603  27.1761 13.98989070 53936,2
172.4216,1 61198U 24170D   25283.10572133  .00000203  00000-0  22740-3 0  9994,2 61198  44.8590 172.4216 0009241 330.9858  29.0459 13.99036651 49513,2
