raan_deg,tle1,tle2,plane_id
293.7555,1 59911U 24102C   25283.19024589  .00000085  00000-0  14657-3 0  9991,2 59911  44.9780 293.7555 0006391 172.8451 187.2474 13.99046922 69892,3
293.8898,1 59912U 24102D   25283.20937589  .00000099  00000-0  15615-3 0  9997,2 59912  44.9779 293.8898 0010732 161.7561 198.3658 13.99041076 69897,3
294.1209,1 59910U 24102B   25283.15730937  .00000089  00000-0  14929-3 0  9993,2 59910  44.9727 294.1209 0008926 156.4921 203.6321 13.99058119 69894,3
294.3622,1 59909U 24102A   25283.17393601  .00000072  00000-0  13750-3 0  9999,2 59909  44.9763 294.3622 0009936 151.1495 208.9888 13.99049039 69890,3
