raan_deg,tle1,tle2,plane_id
54.304,1 64061U 25105D   25283.16309836  .00000077  00000-0  14108-3 0  9997,2 64061  44.9850  54.3040 0009441 279.1459  80.8306 13.99035361 20197,0
54.3957,1 64060U 25105C   25283.17954815  .00000079  00000-0  14281-3 0  9994,2 64060  44.9854  54.3957 0009861 285.0467  74.9274 13.99053630 20184,0
54.5036,1 64058U 25105A   25283.19907848  .00000113  00000-0  16604-3 0  9997,2 64058  44.9836  54.5036 0010839 274.2466  85.7128 13.99020756 20188,0
55.4156,1 64059U 25105B   25282.86054015  .00000077  00000-0  14088-3 0  9993,2 64059  44.9797  55.4156 0010026 275.7104  84.2585 13.99023160 20140,0
85.2771,1 54687U 22167F   25283.17286525  .00048322  00000-0  85539-3 0  9996,2 54687  97.6248  85.2771 0003819 242.3594 117.7270 15.50145289157691,0
