Satellite,NORAD_ID,Epoch_UTC,i_deg,RAAN_deg,e,omega_deg,M_deg,n_rev_day,Period_min,a_km,Mean_alt_km,Rev_at_epoch
TIANQI-07,54687,2025-10-10 04:08:55,97.6248,85.2771,0.0003819,242.3594,117.727,15.501452891,92.89451834776408,6794.438491826752,423.4384918267524,57691
TIANQI-17,64061,2025-10-10 03:54:51,44.985,54.304,0.0009441,279.1459,80.8306,13.99035361,102.92806315994181,7275.274435751145,904.2744357511447,20197
TIANQI-24,57792,2025-10-09 23:50:12,49.9695,124.9053,0.0013617,103.2022,257.041,14.229374791,101.19910545267189,7193.5725663832745,822.5725663832745,9003
TIANQI-26,59912,2025-10-10 05:01:30,44.9779,293.8898,0.0010732,161.7561,198.3658,13.99041076,102.9276427048951,7275.25462302731,904.2546230273101,69897
TIANQI-29,61196,2025-10-10 03:21:08,44.8576,171.8088,0.0009257,352.9518,7.1181,13.99020018,102.92919196814523,7275.327627428272,904.3276274282716,54031
TIANQI-33,62366,2025-10-10 05:29:15,44.981,353.8715,0.0005823,268.3847,91.6318,13.99063901,102.92596349392907,7275.1754948149,904.1754948149,41328
